Depth,Nodes,AUC,EER
10,5,0.9925,0.05833
10,10,0.99833,0.00833
10,15,0.99375,0.05
20,5,0.99,0.091667
20,10,0.99708,0.041667
20,15,0.99833,0.008333
30,5,0.99167,0.05
30,10,0.99667,0.05
30,15,1,0
